; object file translation for bglxml
; format:
; guid,name
;
; where:
; guid = 128 bit guid (in hex format, 32 bytes)
; name = descriptive name for this object
 1cbe470e4150ab4fcc66d4a8e07428fe , co05a
 1cc4503a44ef6e06527ea0b40545b478 , diet
 1cc88a824557f1a1b244379106f2c7ab , hongd
 1d181990428b28546ca268ba9ccc595a , ams_oost9
 1d2d33d8497af383e80cb898248d4305 , ancr
 1d417efb469f3febe612a4bc47163cee , oldcity
 1d6e82c94e7bb74205044a86d45315d7 , checker_hangar
 1d7a2ada490d3e7599a54a82c1012694 , mistmadewake
 1d9d018a41ae8b9b3f29d18aea6c3310 , ams_main13
 1dbf7ef5450b81affc82699db44bfa3c , atlf
 1df125f948badfa7beb34ba3e74c0f59 , pa16a
 1e474ae011d2f11d1000849c2ae60c5a , ldm_lon_commerceoffice
 1e474ae111d2f11d1000849c2ae60c5a , ldm_lon_countyhall
 1e474ae211d2f11d1000849c2ae60c5a , ldm_lon_somersethouse
 1e474ae311d2f11d1000849c2ae60c5a , ldm_lon_treasurybldg
 1e474ae411d2f11d1000849c2ae60c5a , ldm_lon_wembleystadium
 1e474ae511d2f11d1000849c2ae60c5a , ldm_lon_wimbledonstadium
 1e71bea7457854e9f4d2fbb56d08dd5c , syd_dom_hangar05
 1ea39cdf424624d051fef19b7f542dc2 , sfom
 1ecd1a204db4fd01541496a763bc6b5d , nar_maint04
 1f53be0011d409815000acbc63e20a04 , veh_sandbag_emplacement
 1f7675e84dabc599ac3047ae8bb43eec , ldm_par_cityblock1
 1f8fcb5e4ed976012ad6adbfc52af5c9 , ldm_berlin_inselnational_shadow
 1fc581b44598bab214e2ef9d2a7130f6 , ams_middle11
 1fc7d750435b3281291917b546c81e2b , constructcrane_med
 1fcc7de44a8fd11dfde978ad84bf5e44 , ldm_tokyo_internationalforum
 1ff1282444fe77f5130b2697e957aa74 , lasf
 1ffdec494b0c78fa6eb59c8de8fbb891 , small_fuel_station1
 201453a2416da67954e5799d88a9851d , atlh
 203da96349b6e1e4b4c2ea88cd9bee59 , chicl
 2044042011d45e755000df914a44d104 , wep_pylon_hellcat
 206b175d475f74d4caabc492440e25ea , se_peach
 20b085f8414ceaf47dbc229bbd4556f7 , jfk_cargo_2g
 20bae73545fb296cadfd06ab17911def , jfk_cargo_1j
 20d3c05d4fecb1d72a34cfb0bc9b6aa9 , dfw_rampa
 2125df854afd0148d36d989d75955009 , hear
 212d1ec4431a7941419e18a411e84a18 , uluru
 2146670445c1f4e84bd9838c1225e11a , constructcrane_large_shadow
 2191511d464b5412389fb68ed41b0edc , syd_int_term08
 21c28a3749044daa9b09599e2b13c5fa , inf_small_oil_rig
 21e86a034f6b0efb01bece80f489f12d , sfoe
 21eac00e46e60f801ff507b9d88ef99d , dfw_delta_c
 2235a9fa4e99b8009f8167b672c46e3e , stripmall
 225ea178448a8686f4a8d6afdc2f6ba0 , nar_cargowarehouse
 22741ce848652112e8e4d98878d73dce , fl07a
 228525604c0b90d28383ce9e897bdb50 , ams_oost32
 228dc05f43199d8903f41387e832dd46 , krem
 229138ab403c6fe6fd95669c225b9f5f , hi02a
 22a5a2f24d8b2b6137cc5f8b64aa8a91 , ancm
 22d9ae7c491c3cf1dea010bed5153c27 , pboat_30ft_wavyhull
 22db6304449e0cde38454ea70abfeb11 , phx_west_c
 234335a8435676f51cdf1e92687cd6da , inf_broadleaf_tree
 234c71a34c820db803c2d3902e6812c3 , sw_tire
 23ba27fd417f123d041871a598190a89 , heal
 23c587b743004f3e9fe13a956b084a3a , mia_cargo_l
 23ee29b947e82f048758ecabe8fef17e , gen_fueldock
 23fb5e24416c6868ee9aee9a8ff686db , ldm_la_dorothychandlerpavillion
 2432f4974ec9416c111fd082f9b3921e , dfw_west_a
 2435f93b42d1c4eb0e7333a52650a386 , phx_west_a
 2442b4b347951922ba0d4980f7d4f8b8 , nv18
 2458b85a466ac9f9eea2319edde10c96 , pby5a_catalina
 24734b874e54be837db50a8f969e0139 , ams_middle03
 24b6d53a481bda7570a315802adbf1f4 , tokyo_rainbow_bridge
 24c1f9404ce026e88652c59380989c99 , jfk_cargo_2m
 24ffcd3c4bfe575d94f3e29c9fdc9779 , phx_nw_f
 252de1f54fa3bd055c5deda58bd28568 , ldm_dc_lincolnpool
 253d9f26425f4146579486b34737db0f , heatf
 2580afa64c8364f0f039688b779f7b33 , sbd2_dauntless
 25d488804ed8aa82a361d48db104110b , ancau
 25e1facb46eba929f56b6c8026dadafb , inf_barracksb
 25f4bd284e567bc7cbb198b681742ae5 , ldm_chi_presidentialtowersb
 26227c6d4a65bd8b916e30a7b3c7a0a6 , ams_main16
 263b7ea14e386570d3b2c09e7d9dcf22 , tx09a
 26546ab7410ea46d8f4a8685299974c8 , gen_dme
 266b71fd419fd03d3fc354b05edd6118 , fantasy_d
 26f4591446c5d0dab7ef0e808ff4589a , ams_middle12
 26f872db4bf1b11670c69ebbd0875c16 , jfk_cargo_1e
 2701063042e1f99dcb62b28f57046886 , phx_honeywelll
 2703bda74152a685ef1c709fcadc0be4 , ag_cob_house
 270d932b4ac83ec739d3c6ae93d3abb7 , seattle_evergreen_floating_bridge
 273ae97048bfbe807fe5adadafd3977f , ne_super
 27b29f364a4cc8987778529d71889f77 , tx29a
 27c7e496409554feb2322cba8728698d , on03a
 27fa48c043a847f59c9562b2d9cbb9fa , ne_bld_a
 280810c94d78e6930c46309626123898 , sy06a
 2808986940a4a81ea1b1cdb697f9dcda , ldm_tokyo_seirokagarden_building_1
 2828ab564934ab35123292a8bc4f1d56 , lon_hammersmith
 288940f1474642475bbc36a57f3af825 , mia_satellite_e
 2892dd594894a69bca7e1a9ecf7a87ce , yokahama_bay_bridge
 2898b388418768ff0d29c989451f0dbe , inf_large_buildingc
 2898b89248c9be63df2752b1d480a935 , inf_medium_buildinga
 28d12ec745a066da626a4eaafa818801 , seapr
 28d707454ed49fd39770de808e31d5a5 , ancap
 28fb4e034651d8e9012f03a4515708cb , mia_parking_a
 2908199045ac04e23b37648e30a7db96 , hi10a
 2936fd334182e37346438b8c68e4a897 , inf_medium_buildingc
 294c73e940e0aa471a0b029627244b6e , den_other_hangar
 298987164c53635c139c4baca59fc85d , den_office_c
 29def2104e1e3218939153b64935fe8f , inf_hangar_smalla
 2a33d67f4fb1f3328b47959ec2747bc , wep_ja_type_91
 2a33fd6f4a5201f9de8d5687c78bd8f8 , veh_ltv4
 2a6dbda94503c7fdce60dda8dbdd3444 , veh_mc51
 2aaeb3b149d0fd3cb491d49b35b0d3b9 , jfk_compound02
 2b097f1a4c0b8f27e124279d368cd583 , heab
 2b0ea92249dc5a1dded66d995e391e4c , chicf
 2b735d99480d77c6fac360a95873c074 , sw_tigrs
 2b839d084b5c380dbaf563b3862c7b24 , nw_capit2
 2b87a4824ad20e5f37a83294a9e8c613 , ny_brooklyn
 2b931b90449394386f38a5b0ffb5e7c2 , gen_bridge01_2
 2bb05a2c46e57a7125a4ab964b4f6131 , mia_parking_b
 2bb807904e217419141e2e8b89040ede , inf_large_stone_bridgeiib
 2bdd7cc34558339399d4cea893bf5050 , syd_int_term02
 2bf74ea24a067df84f077b9a4090907d , sailboat_s_up
 2c4f7dd1434a3142967f41a0acb26393 , or02a
 2c60720f4fc1a493318211ae89196945 , mo04a
 2c608c1244d5df67d983699eb384e646 , atlu
 2c98c5404e9b0d0bd15b80a7c283b7d3 , seapv
 2cb9fd6e4f431d39de55fcb2c4dc7749 , wa01a
 2cf0842d4fb66bc7642d63bfa7518c14 , nw_pent
 2cf6f25844190a3a79eb40a2c1625621 , ams_oost34
 2d00e77f44e3f67f7b79678d94d8d427 , ams_main06
 2d1fa4b542f73fd45808c09c74eae6bc , mia_maintenance_d
 2d6b5b0d4542c2719c6837b77d8e24e9 , nw_bld_b
 2d7d189a43f3f0e575d03fb76b7a4ef8 , gen_bridge07
 2d95f02a45821b58ead890949e8e2d81 , sm_vor
 2da289084992ce77aa6b189a8eb6e48a , sanfran_dumbarton_bridge
 2dae0bf74ae3eeb44423aba9c4b78fd2 , laxw
 2db0350a43628cacaf19cd896240f1e2 , ag_iceberg_2
 2dbac42b461b4dee7f8cdca907f4bce5 , chicd
 2dcb5d1744f60533703507a627f8a1ab , veh06
 2e2a91f5461e3c650b3165af2c093add , sfoc
 2e319fcf4aaf3bfbabc4129153ce83c0 , dfw_jetwayb
 2e3fe8d0408a2aa4cd26f5932d1ecfde , inf_cratersb
 2e7159744419a09b35957091f03aebd5 , mia_cargo_n
 2e752d644d7b91691b154cb0ded37a39 , ag_footballstadium_1
 2e8c16b8404307a8cdaf609d2408a3db , sy03a
 2e942e8144a5d4599f16d4b2cc64a041 , sm_sign
 2ea007a041c21ba47c7f21aa30e4970e , wep_us_1klb_gp_bomb
 2ee08e124969a59f36874b91086de5a2 , easterheaddown
 2ee6db30439539a6f3a896a7c9922e77 , hi03a
 2f14a1254cfb57086bf5eabcdc764712 , ag_gas_3
 2f17286844c23bcccf085586066e06d5 , ancuu
 2f25365d48dab2d099adc796e9c81957 , on08a
 2f304fc04331821b83926b8676fdefc8 , hongg
 2f7783f142859ec26afbc3a0d8b365f3 , ldm_sf_alcatraz
 2f7798cc440d29453ec0e9a49b643701 , dfw_eastcargo_d
 2fb72c664727290c20da70b983ee4c98 , ndb
 2fb7f11542b02b20d9a72c85f93a149b , atlo
 2fc03fe011d45e755000df914a44d104 , wep_pylon_ja_wing
 2fed4d6b4a96cd6819a725919f03489e , wep_us_500lb_gp
 2ff3e3124118b9f6f8205cb5f692f190 , dfw_delta_d
 2ff66ebd441f10fce5799eade1fd5da7 , hk02a
 3034ffe3405ffb1f76cc169c71d248fb , nv15
 304b12a3487c5c29e59a2db473185165 , phx_honeywelld
 304d3478482a39ae28864b8b38640375 , sy05a
 305fb2f644802f69c9be57816ed05913 , gen_elevator
 3079492e4fc43d9eec52fa8bfc3345d6 , nar_maint11
 307bff9d4333b057a1052c950aef1c4e , ams_main23
 3088519f43b29a0a313f279735d677a4 , sfob
 30a414b743f82b34d6199dbbf18bc688 , ne_skydm
 30bce26a478fee2c5794f6bd18b2a580 , ne_bld4
 311d1505451b32e1709b33bc66bdc524 , sfop
 312f6c714b5904fb80af91bfd9d673df , runway1a_dirt_sq
 314280d04303f9375f3684ab38714a89 , mia_maintenance_c
 317374a4436bc44f55ffce8bdf3f83dd , cruise_linera
 3191b5e14dfaf170f5374382a1c2cd4a , nv02
 31cc1e764dd5f4d62112109d51591d34 , inf_cratersasm
 31f097cd46b6b0611fa103b0d2fea4ac , second_bosporus_bridge
 31f81d7b4569831826255f85129481b5 , inf_small_buildinga
 31fb3ebe4e3fe8a4e8339eba4e39b49d , den_hanger_o
 3216f40b434d0f54a0732c9b087fedfe , concretebridge1a
 322b631d44423624914321886c3eb511 , ancyy
 32519fea406d00359e68a5b62cea28a9 , gen_balloon01
 326eb8e34ff3c83f1e47de805f1da9f2 , syd_int_term04
 32acbe4b4abbb26423446ebd272b0233 , laxan
 32dddb3242c5da904be28db522e255db , fl13a
 33331dd34eb99a0eea75a18ce253e63f , ancxx
 337e405147f36f07100c7a90cd83e81c , ams_middle02
 33abbc984b435bdf8c7115987472c3ca , ancs
 33b7408d42aa3ddb083234a412872e76 , phoenix_westwardho
 33d932354dd02d83a5c0dcb469e931b1 , seapt
 345f6b494db6c2deb61de89bf9bd39e2 , sw_capit
 3473dc2343a9f35423f89daeea1e170a , mia_satellite_d
 34b7af9f4f9416500fcd618974b5daa8 , on06a
 34c975674095bc4fb845dc8cc6702b3a , ldm_rome_tiberisland_shadow
 34c9a7e311d3150f1000869c2ae60c5a , ldm_la_dodgerstadium
 34c9a7f911d3150f1000869c2ae60c5a , ldm_la_downtownred
 34c9a80111d3150f1000869c2ae60c5a , ldm_la_labreatarpitmuseum
 34c9a82c11d3150f1000869c2ae60c5a , ldm_lon_01
 34c9a83011d3150f1000869c2ae60c5a , ldm_lon_13
 34c9a85811d3150f1000869c2ae60c5a , ldm_lon_03
 34c9a87411d3150f1000869c2ae60c5a , ldm_lon_12
 34c9a87511d3150f1000869c2ae60c5a , ldm_lon_19
 34c9a87c11d3150f1000869c2ae60c5a , ldm_ny_giantsstadium
 34c9a89f11d3150f1000869c2ae60c5a , ldm_par_11
 34c9a8a111d3150f1000869c2ae60c5a , ldm_par_19
 34c9a8a711d3150f1000869c2ae60c5a , ldm_par_10
 34c9a8af11d3150f1000869c2ae60c5a , ldm_par_pompidou
 34d697ea43064c6562e5bb81bc1e7f08 , mia_maintenance_m
 34dca6b943147ee2d967049216a0d057 , newark_stickel_bridge
 34ee439d4e390017f63c2285f3777b09 , ut03a
 351414fe4b58124dda1b47bc1239355f , gen_beaconhelicone
 3518fe64481dd9ac8d4dbfba67a09331 , heaj
 355c8a804c7d45760cbd9b9b67d207ba , ag_school
 357cdf9a4854785c62f803abc0009d6b , atle
 35847ccf47847d9c29f73b87f98dc9fe , den_hanger_b
 35a5b58f414f0a4f4b38708c15167849 , ancg
 35c58e6741a96889c24dd894b4982210 , tx18a
 364189ed11d3344c1000869c2ae60c5a , ldm_sf_missiondolores
 3699b2784d1903452b0f9b948215475c , ancii
 369db1504d1fc0aa58393990b3760138 , ams_middle01
 36a5546441b35dfb24e9eb92991d9353 , phoenix_bankone
 36a57cf3416706d72ee1eebcbbae4190 , dfw_vor
 36c89a4d4ddbeef823a2f8a66375c97a , hollywood_sign
 36d2816849e3fd1eca6f04a0113067d1 , gen_beaconwatercone
 376007b14b00165b18f8e5a3b08fae3a , nv19
 3766e4ba44170f84ed17f58003b02857 , chicr
 37a9fbe74520236c01d718bb3605bfe9 , jfk_parkingwest
 37adc52c49e472b8c3e8f3ac8100f7f0 , den_toll_boothb
 37e5ef4245f34c1971217d9d126762e3 , veh02
 37f89cd34c3977a7f23622bd86d3f80f , nar_maint06
 3893d6944314f5190bfeb6ac3a280d3b , sco_gen_vorsmall2
 38a4aa3b4f6c7b7f1de16b9c66c7104b , phx_honeywelle
 38c55f68418dd0ea79cc3d8c10d4807b , gen_powerstation01
 38d994264974a14e4359be93b1e8106c , medium_tower1
 38e4226011d4017a5000acbc63e20a04 , veh_m5a1_stuart
 38facb57462fc5d8c2551f866cf4f19b , b24d_liberator
 391e396640cdd7db8df5de80979edbb9 , ca03a
 391fd0174d812dd3756f43b4867ff57d , ldm_bos_oldjohnhancock
 393125a34474b069c05982a8c9e75fd3 , nippon_budokan
 393a0f0040353a3d68de6f9b18259933 , hstcc
 39490bee4ca49c73e23688c11a3e76 , veh_m3_half_track
 395b178e4db3ecafcb75ceabc73b589d , jfk_cargo_3h
 3977f0c748eda6958664be8bded3f58b , gen_radio01_shadow
 398a316d409a4f666488cab55d46d01d , syd_dom_hangar08
 399a2c0a43f5991c369403a99d5d2dfa , mia_office_a
 39d278b1438717b36a96b69af1ce198a , parking04
 3a00fd8144894cc518036f8b9b7c1279 , sphinx
 3a2bfc514dc79d8e1daa698a3488c21e , p47n_thunderbolt
 3a2c24011d3150e1000869c2ae60c5a , ldm_chi_mortonbldg
 3a2c24111d3150e1000869c2ae60c5a , ldm_chi_prudentialbldg
 3a5affe143e95cb6df00d3b5786eb8c3 , sco_gen_vor03dme
 3a7408dc459c88f94bdb8d8ad93658e1 , forum02
 3a764767409170570eea7b8508d6f9f8 , heaac
 3aa63ac544f1c91560d3f48da21b6baf , syd_dom_building02
 3ac9c75f45677e8489715b89f3082d0e , seattle_hoodcanal_bridge
 3ae45cb74ff5d7255b360eb26a68b158 , phoenix_viad
 3b344e5b444df67b1047c9af7cdc58dc , den_hanger_i
 3b40817d44ed38238f1bf7bbe0cbd0ca , veh_type_96
 3b58ae5643301e8a2b2c208a3cc149fb , laxam
 3b7b91254a5509e146381bb20b265e8c , ldm_chi_presidentialtowersd
 3b884d20494930ae11b177a9c6dc32a2 , uss_kittyhawk01
 3b9bdc46471a0bfe1d38929cd90444b2 , melbourne_central01
 3bcb4fb642dd6811c41e45835f5e7647 , ag_iceberg_5
 3bd857d04da349be0ec43992187d0ec5 , dampr
 3c73cd6011d457e05000df914a44d104 , wep_us_wildcat_drop_gp
 3c76b3f44fd9787a95a022be5f106d26 , phx_ng_j
 3c782e1549195fed4ccb11830f02d2c6 , ancee
 3c97b1214b711c542c784895eb80cf48 , inf_tents_large
 3c9f6370480e674816ceffbcdcc8bd9d , jfk_cargo_1d
 3cf3882e4fb4bd8606d625bb1ea2915f , seapp
 3d0effcf47bb12fee215f899c83e58f7 , cdg_building_a
 3d9bcbb849062b55fbce479919d92fd1 , runway1a_dirt_rnd
 3da6d41642cfc511b5c9aa81583f6df5 , se_olymp
 3df2976b46bc6527a6ffd3819ebdf8c1 , den_office_a
 3e79b80c4b1032f21bca37b693fe5110 , ancw
 3e7d2f4142abbbf5198b2aa219b70939 , ag_mediumgrandstand
 3ebedf0011d2f0721000849c2ae60c5a , ldm_ny_bakerfield
 3ebedf0111d2f0721000849c2ae60c5a , ldm_ny_belmonttrackpark
 3ebedf0311d2f0721000849c2ae60c5a , ldm_ny_brendanbyrnearena
 3ebedf0411d2f0721000849c2ae60c5a , ldm_ny_chrystlerbldg
 3ebedf0511d2f0721000849c2ae60c5a , ldm_ny_citicorp
 3ebedf0611d2f0721000849c2ae60c5a , ldm_ny_conyastroland
 3ebedf0711d2f0721000849c2ae60c5a , ldm_ny_conyboardwalk
 3ebedf0811d2f0721000849c2ae60c5a , ldm_ny_conyferriswheel
