acropol	{7a326bdd-0e16-401c-b275-0330067879a4}
ag_usfactory01	{fd3b16c1-96ec-46fe-b456-cced22f32306}
ag_usfactory02	{b9dc3ae1-5c5f-4149-95d8-2b101aacce2c}
ag_usfactory03	{3b6b1b79-66c6-460a-a9d8-c84054a54979}
ag_usfactory04	{b4e1ea2d-2416-4d2e-88f1-06a758efc3dd}
ag_usfactory05	{8241c4a8-ff5c-46f7-9224-adcef910ebc8}
ag_usfactory06	{66fa3435-8186-4fd3-9e3f-2427af0f87c7}
ag_usgallery01	{bb3a6725-ebf3-4ecf-878e-8f2141ee98c5}
ag_usgas01	{8ac60991-5f45-4e5e-a32f-3f590521f7cf}
ag_usloader01	{924f3e33-654a-4688-9834-f81a8487e4be}
ag_usoffice01	{07674dfa-0845-44b0-9522-8f25eeaf4bac}
ag_usoffice02	{e0304583-0b34-4797-a634-debb32c99ec9}
ag_uspostoffice01	{1649ceca-83c7-4b3e-8f87-f36cc8bc6810}
ag_ussilo01	{ef0366e8-aafe-4de8-a458-a61a5d7c84bb}
ag_ussilo02	{30029138-4671-4895-8723-6a9a62ec7ffe}
ag_ussilo03	{8883320e-95d2-434e-97ac-37f2ff2775bf}
ag_ussilo04	{a5b68a08-6f53-43f2-b0dd-c38b9ef79421}
ag_ussilo05	{8d99c008-2b93-4a2b-a2d4-c2a75a1b2e41}
ag_uswarehouse01	{92e6598a-77aa-4e62-ac97-b60b493a8962}
ag_uswarehouse02	{3151fd7c-ddaa-4b2e-808f-1aed883e47d5}
ag_uswarehouse03	{c5193ec1-dff6-435f-86ed-25b3f6e3e9f2}
ag_uswarehouse04	{722c1483-7caa-4997-822c-b7f817f326d4}
ag_uswarehouse05	{dcfaa06f-1588-4e00-9380-9e1aad009eec}
ag_uswarehouse06	{bf777b4b-c4ec-4d22-ad96-31b74dd0a369}
ag_uswarehouse07	{b8eb4d42-835f-4a69-b929-e3bf8969c135}
ag_uswarehouse08	{61e33e19-8732-46e6-a025-1062a4280dc0}
ag_vegcon01	{a0f74fa4-4df0-4b6b-b898-30f71546dae4}
ag_vegdec01	{3c4e4448-7d36-4ef3-ad2a-5d6185c9010c}
ag_vegdec02	{61eee1d5-e3a3-4ab3-9eb7-9337b6de6a86}
ag_warehouse	{f131f3d9-5f94-4606-82ed-9e61b7d10e16}
ag_watertower_1	{93802d8b-ba4f-45eb-a272-9f029a0feeb3}
agn_containers01	{6aed1e14-f6e2-49cd-9a7f-6c667bfa1457}
agn_containers02	{230e2525-7d40-47a9-bcc1-92fb7bf28548}
agn_containers03	{c590c3f1-c0f6-452c-8b32-2732ac1565e7}
agn_containers04	{175b8cfd-0462-4b45-95d1-b709ec32e730}
agn_containers05	{224f7a0d-86fa-43ca-8453-66d759e90496}
agn_containers06	{c9a19015-3850-4834-a706-9b723bdb52f8}
agn_containers07	{a8f150e0-5471-4937-a1f6-ade2399bc598}
agn_containers08	{0a4d657c-20ce-4df0-9f6d-a829a80d7897}
AGN_ContainersGroup	{243719a6-0358-42d1-91c5-cf7034d826cd}
agn_conv_store_1	{4701cb1b-518d-42f4-a843-7e6fb85d0496}
agn_conv_store_2	{900eb65e-1aa7-44fa-aa22-26762aa31103}
agn_conv_store_3	{193efe41-da42-4d3c-90dc-da300a07768e}
agn_conv_store_4	{80c87f1e-e7ed-4086-b653-ae1f901fe9db}
AGN_DocObj_Barrier_01	{62aef1dc-681b-4eb6-a5f2-96393f1490d4}
AGN_DocObj_Barrier_02	{94abe825-bfbb-4c8c-8782-9a9c478dd93e}
AGN_DocObj_Barrier_03	{2f9901c5-4ea4-4886-8080-43eaf72cef96}
AGN_DocObj_Barrier_04	{84f1e3fb-90d5-49c1-acee-1e2a4fa866b2}
AGN_DocObj_BigGroup01	{926f7ec0-ac07-46be-9e77-ef385d7c5073}
AGN_DocObj_BigGroup02	{a63ed3f3-0901-4577-a409-0dc220593cda}
AGN_DocObj_BigGroup03	{a123d716-e5e2-4cf1-b582-674055795e58}
AGN_DocObj_BigGroup04	{c9997db8-110e-40e8-b8c5-8e28bd844702}
AGN_DocObj_Boards12Foot	{a724831c-855c-4a7c-b1c1-115c85bf19a0}
AGN_DocObj_Boards18Foot	{4c49688e-6091-44c6-a9cd-2f12570357e7}
AGN_DocObj_BoardsWrapped	{53c4d282-58b0-4142-9d73-7fda75e25f84}
AGN_DocObj_Cleat_01	{30cb2f3b-7cf1-46a6-b80a-04724fb9086b}
AGN_DocObj_Cleat_02	{d035b152-21c7-4a43-b004-8392e5b0d51a}
AGN_DocObj_Crate	{050ef288-7713-43de-bc85-91089aeb2210}
AGN_DocObj_Dumpster	{67a9399f-3e9a-4759-9242-292cc7ef8be1}
AGN_DocObj_MGroup01	{239894df-e424-47a5-8698-c1d098e4bbb3}
AGN_DocObj_MGroup02	{41a60acd-64b5-4a27-9f34-8592b41d6690}
AGN_DocObj_MGroup03	{9bfe3589-5609-410e-ba88-cda02f78bc49}
AGN_DocObj_MGroup04	{5152eb44-82a9-4f15-9339-cbaff98feef1}
AGN_DocObj_Pallet_01	{ab05f194-aa94-4750-871d-e31e44c24f0f}
AGN_DocObj_Pallet_02	{d38eadff-9a6a-446e-9813-7fe5fca68147}
AGN_DocObj_Pallet_03	{811c1c09-ec61-4f4f-8081-8ce45d065b81}
AGN_DocObj_Pallet_04	{d3614532-9176-43b7-a12e-53ae8cbd2ca4}
AGN_DocObj_PipeCorig	{bc9a3b05-3acb-41e7-be57-bbe99ed76542}
AGN_DocObj_PipeWhite	{8af89fdd-2cfb-496f-a309-f45ce2470b32}
AGN_DocObj_Plywood	{d4295d90-76b7-451a-901f-1e15338b4a23}
AGN_DocObj_Poles	{2355770d-fbbd-4fed-bdaa-eb6f1b92dcad}
AGN_DocObj_Rope	{c86d2a16-15ad-49ef-9f23-4848d2d8b48d}
AGN_DocObj_SGroup01	{07671500-995c-4c07-926a-da74c3ceac80}
AGN_DocObj_SGroup02	{52435c3c-255e-45ed-8667-adb978f8a94b}
AGN_DocObj_SGroup03	{e6bc8675-d8dc-4d9a-aed1-cff99a7468dc}
AGN_DocObj_SGroup04	{be707782-42da-4dca-9fcc-c39933407c05}
AGN_DocObj_Wire_Gray	{e67a7e23-9761-4614-a51a-3aa1af3873c9}
AGN_DocObj_Wire_Red	{29aa10d4-a172-4b1c-b6b0-7bd4a91e807a}
AGN_DocObj_Wire_White	{c0f25a82-bf85-4980-95b8-f5beef6a9ec2}
AGN_DocObj_Wire_Yellow	{abeb77a3-264d-4e5f-bd3e-de681a635ce4}
agn_fambarnweathered_1	{b8cd0a99-1e69-434c-9811-448571b66f95}
agn_fambarnweathered_2	{0ed77968-b1e9-4975-b6ce-55db98105187}
